Symbol,Name
MSFT.NE,Microsoft Corporation
AAPL.NE,Apple Inc.
NVDA.NE,NVIDIA Corporation
GOOG.NE,Alphabet Inc.
AMZN.NE,"Amazon.com, Inc."
META.NE,"Meta Platforms, Inc."
BRK.NE,Berkshire Hathaway Inc.
AVGO.NE,Broadcom Inc.
LLY.NE,Eli Lilly and Company
TSLA.NE,"Tesla, Inc."
JPM.NE,JPMorgan Chase & Co.
WMT.NE,Walmart Inc.
VISA.NE,Visa Inc.
XOM.NE,Exxon Mobil Corporation
UNH.NE,UnitedHealth Group Incorporated
MA.NE,Mastercard Incorporated
COST.NE,Costco Wholesale Corporation
PG.NE,The Procter & Gamble Company
JNJ.NE,JOHNSON & JOHNSON CDR (CAD HEDG
HD.NE,"The Home Depot, Inc."
BOFA.NE,Bank of America Corporation
ABBV.NE,AbbVie Inc.
NFLX.NE,"Netflix, Inc."
CHEV.NE,Chevron Corporation
COLA.NE,The Coca-Cola Company
AMD.NE,"Advanced Micro Devices, Inc."
CRM.NE,"Salesforce, Inc."
ADBE.NE,Adobe Inc.
TMO.NE,Thermo Fisher Scientific Inc.
CSCO.NE,"Cisco Systems, Inc."
MCDS.NE,McDonald's Corporation
DIS.NE,The Walt Disney Company
VZ.NE,Verizon Communications Inc.
NOWS.NE,"ServiceNow, Inc."
CATR.NE,Caterpillar Inc.
IBM.NE,International Business Machines Corporation
PFE.NE,Pfizer Inc.
RY.TO,Royal Bank of Canada
GS.NE,"The Goldman Sachs Group, Inc."
UBER.NE,"Uber Technologies, Inc."
HON.NE,Honeywell International Inc.
RTX.NE,RTX Corporation
INTC.NE,Intel Corporation
CITI.NE,Citigroup Inc.
UPS.NE,"United Parcel Service, Inc."
BLK.NE,BLACKROCK CDR (CAD HEDGED)
NKE.NE,"NIKE, Inc."
BA.NE,The Boeing Company
PANW.NE,PALO ALTO NETWORKS CDR (CAD HED
TD-PFB.TO,The Toronto-Dominion Bank
TD-PFI.TO,The Toronto-Dominion Bank
TD-PFM.TO,The Toronto-Dominion Bank
TD.TO,The Toronto-Dominion Bank
TD-PFD.TO,The Toronto-Dominion Bank
DEER.NE,DEERE CDR (CAD HEDGED)
SBUX.NE,Starbucks Corporation
ENB-PY.TO,Enbridge Inc.
SHOP.TO,Shopify Inc.
ENB-PJ.TO,Enbridge Inc.
ENB-PP.TO,Enbridge Inc.
ENB-PFV.TO,Enbridge Inc.
ENB-PFA.TO,Enbridge Inc.
CNQ.TO,Canadian Natural Resources Limited
ENB-PFC.TO,Enbridge Inc.
ENB.TO,Enbridge Inc.
TRI.TO,Thomson Reuters Corporation
CNR.TO,Canadian National Railway Company
ENB-PFG.TO,Enbridge Inc.
CP.TO,Canadian Pacific Kansas City Limited
CVS.NE,CVS Health Corporation
BN.TO,Brookfield Corporation
PYPL.NE,"PayPal Holdings, Inc."
CSU.TO,Constellation Software Inc.
ENB-PFU.TO,Enbridge Inc.
ENB-PV.TO,Enbridge Inc.
BNS.TO,The Bank of Nova Scotia
TRP-PB.TO,TC Energy Corporation
TRP-PF.TO,TC Energy Corporation
ATD.TO,Alimentation Couche-Tard Inc.
