Symbol,Name
VFV.TO,Vanguard S&P 500 Index ETF
XIU.TO,iShares S&P/TSX 60 Index ETF
XIC.TO,iShares Core S&P/TSX Capped Composite Index ETF
XSP.TO,iShares Core S&P 500 Index ETF (CAD-Hedged)
VUN.TO,Vanguard U.S. Total Market Index ETF
XEF.TO,iShares Core MSCI EAFE IMI Index ETF
ZEA.TO,BMO MSCI EAFE Index ETF
ZCN.TO,BMO S&P/TSX Capped Composite Index ETF
FCLC.NE,Fidelity Canadian Large Cap Series ETF
CSAV.TO,CI High Interest Savings ETF
ZAG.TO,BMO Aggregate Bond Index ETF
XBB.TO,iShares Core Canadian Universe Bond Index ETF
VCN.TO,Vanguard FTSE Canada All Cap Index ETF
XUS.TO,iShares Core S&P 500 Index ETF
XEF-U.TO,iShares Core MSCI EAFE IMI Index ETF
RNAV.NE,RBC North American Value Fund
TGAF.TO,Tralucent Global Alt(long/Short) Equity Fund E ETF
VGRO.TO,Vanguard Growth ETF Portfolio
FTHI.TO,Fidelity Tactical High Income Fund ETF
CASH.TO,Global X High Interest Savings ETF
PSA.TO,Purpose High Interest Savings Fund
FCEM.TO,Fidelity Emerging Markets Fund ETF
VAB.TO,Vanguard Canadian Aggregate Bond Index ETF
XUS-U.TO,iShares Core S&P 500 Index ETF
VIU.TO,Vanguard FTSE Developed All Cap ex North Amer Idx ETF
VEQT.TO,Vanguard All-Equity ETF Portfolio
RCOR.NE,RBC Core Bond Pool ETF
HISA.NE,High Interest Savings Account ETF
FCGC.NE,Fidelity Greater Canada Series ETF
HXT-U.TO,Global X S&P/TSX 60 Corporate Class ETF
HXT.TO,Global X S&P/TSX 60 Corporate Class ETF
XEQT.TO,iShares Core Equity ETF Portfolio
ZEB.TO,BMO Equal Weight Banks Index ETF
RPLS.NE,RBC Core Plus Bond Pool ETF
HXS-U.TO,Global X S&P 500 Corporate Class ETF
HXS.TO,Global X S&P 500 Corporate Class ETF
ZLB.TO,BMO Low Volatility Canadian Equity ETF
ZFL.TO,BMO Long Federal Bond Index ETF
IGAF.TO,IA Clarington Loomis Global Allocation Fund ETF
VSP.TO,Vanguard S&P 500 Index ETF (CAD-hedged)
HBB.TO,Global X Canadian Select Universe Bond Index Corporate Class ETF
RCEI.NE,RBC Canadian Equity Income Fund
XSEM.TO,iShares ESG Aware MSCI Emerging Markets Index ETF
XQQ.TO,iShares NASDAQ 100 Index ETF (CAD-Hedged)
NSCB.TO,NBI Sustainable Canadian Bond ETF
VBAL.TO,Vanguard Balanced ETF Portfolio
ZMU.TO,BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF
VDY.TO,Vanguard FTSE Canadian High Dividend Yield Index ETF
BGEQ.NE,BMO Global Equity Active ETF Series
FGEP.TO,Fidelity Global Equity+ Fund ETF
NUBF.TO,NBI Unconstrained Fixed Income ETF
ZUE.TO,BMO S&P 500 Hedged to CAD Index ETF
RINT.NE,RBC International Equity Fund
XGRO.TO,iShares Core Growth ETF Portfolio
HSAV.TO,Global X Cash Maximizer Corporate Class ETF
ZST-L.TO,BMO Ultra Short-Term Bond ETF (AU)
ZST.TO,BMO Ultra Short-Term Bond ETF
XSB.TO,iShares Core Canadian Short Term Bond Index ETF
NSCE.TO,NBI Sustainable Canadian Equity ETF
FLCP.TO,Franklin Canadian Core Plus Bond Fund ETF
ZQQ.TO,BMO Nasdaq 100 Equity Hedged to CAD Index ETF
BTCC-U.TO,Purpose Bitcoin CAD ETF Non-Currency Hedged Units
BTCC.TO,Purpose Bitcoin CAD ETF Currency Hedged Units
BTCC-B.TO,Purpose Bitcoin CAD ETF Non-Currency Hedged Units
BTCC-J.TO,Purpose Bitcoin CAD ETF Non-Currency Hedged Carbon Offset Units
VXC.TO,Vanguard FTSE Global All Cap ex Canada Index ETF
ESGY.TO,BMO MSCI USA ESG Leaders Index ETF
ESGY-F.TO,BMO MSCI USA ESG Leaders Index ETF (Hedged Units)
VEE.TO,Vanguard FTSE Emerging Markets All Cap Index ETF
ZWU.TO,BMO Covered Call Utilities ETF
XEG.TO,iShares S&P/TSX Capped Energy Index ETF
TTP.TO,TD Canadian Equity Index ETF
TCLB.TO,TD Canadian Long Term Federal Bond ETF
ZCPB.TO,BMO Core Plus Bond ETF
VCE.TO,Vanguard FTSE Canada Index ETF
XEI.TO,iShares S&P/TSX Composite High Dividend Index ETF
ZWC.TO,BMO CA High Dividend Covered Call ETF
XCB.TO,iShares Core Canadian Corporate Bond Index ETF
TPE.TO,TD International Equity Index ETF
ZCS.TO,BMO Short Corporate Bond Index ETF
SITU.NE,Scotia US Equity Index Tracker ETF
TDB.TO,TD Canadian Aggregate Bond Index ETF
XDV.TO,iShares Canadian Select Dividend Index ETF
