Company,Symbol_CDR,Symbol
AbbVie CDR (CAD Hedged),ABBV.NE,ABBV
Adobe CDR (CAD Hedged),ADBE.NE,ADBE
Advanced Micro Devices CDR (CAD Hedged),AMD.NE,AMD
Alphabet CDR (CAD Hedged),GOOG.NE,GOOG
Amazon.com CDR (CAD Hedged),AMZN.NE,AMZN
Apple CDR (CAD Hedged),AAPL.NE,AAPL
Bank of America CDR (CAD Hedged),BOFA.NE,BAC
Berkshire Hathaway CDR (CAD Hedged),BRK.NE,BRK-B
BlackRock CDR (CAD Hedged),BLK.NE,BLK
Boeing CDR (CAD Hedged),BA.NE,BA
Broadcom CDR (CAD Hedged),AVGO.NE,AVGO
Caterpillar CDR (CAD Hedged),CATR.NE,CAT
Chevron CDR (CAD Hedged),CHEV.NE,CHEV
Cisco CDR (CAD Hedged),CSCO.NE,CSCO
Citigroup CDR (CAD Hedged),CITI.NE,C
Coca-Cola CDR (CAD Hedged),COLA.NE,KO
Constellation Brands CDR (CAD Hedged),STZ.NE,STZ
Costco CDR (CAD Hedged),COST.NE,COST
CVS Health CDR (CAD Hedged),CVS.NE,CVS
Deere CDR (CAD Hedged),DEER.NE,DE
Eli Lilly CDR (CAD Hedged),LLY.NE,LLY
Exxon Mobil CDR (CAD Hedged),XOM.NE,XOM
Goldman Sachs CDR (CAD Hedged),GS.NE,GS
Home Depot CDR (CAD Hedged),HD.NE,HD
Honeywell CDR (CAD Hedged),HON.NE,HON
IBM CDR (CAD Hedged),IBM.NE,IBM
Intel CDR (CAD Hedged),INTC.NE,INTC
Johnson & Johnson CDR (CAD Hedged),JNJ.NE,JNJ
JPMorgan CDR (CAD Hedged),JPM.NE,JPM
Lululemon CDR (CAD Hedged),LULU.NE,LULU
Mastercard CDR (CAD Hedged),MA.NE,MA
McDonald’s CDR (CAD Hedged),MCDS.NE,MCD
Meta CDR (CAD Hedged),META.NE,META
Microsoft CDR (CAD Hedged),MSFT.NE,MSFT
Netflix CDR (CAD Hedged),NFLX.NE,NFLX
NIKE CDR (CAD Hedged),NKE.NE,NKE
Nvidia CDR (CAD Hedged),NVDA.NE,NVDA
Palo Alto Networks CDR (CAD Hedged),PANW.NE,PANW
PayPal CDR (CAD Hedged),PYPL.NE,PYPL
Pfizer CDR (CAD Hedged),PFE.NE,PFE
Procter & Gamble CDR (CAD Hedged),PG.NE,PG
RTX CDR (CAD Hedged),RTX.NE,RTX
Salesforce CDR (CAD Hedged),CRM.NE,CRM
ServiceNow CDR (CAD Hedged),NOWS.NE,NOW
Starbucks CDR (CAD Hedged),SBUX.NE,SBUX
Supermicro CDR (CAD Hedged),SMCI.NE,SMCI
Tesla CDR (CAD Hedged),TSLA.NE,TSLA
Thermo Fisher CDR (CAD Hedged),TMO.NE,TMO
Uber CDR (CAD Hedged),UBER.NE,UBER
UnitedHealth CDR (CAD Hedged),UNH.NE,UNH
UPS CDR (CAD Hedged),UPS.NE,UPS
Verizon CDR (CAD Hedged),VZ.NE,VZ
Visa CDR (CAD Hedged),VISA.NE,V
Walmart CDR (CAD Hedged),WMT.NE,WMT
Walt Disney CDR (CAD Hedged),DIS.NE,DIS
