Fund Ticker,Security Identifier,Symbol,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,594918104,MSFT ,"55,477,242","24,726,206,759.40",8.57,Microsoft Corp,Common Stock,Information Technology,06/20/2024
QQQ,67066G104,NVDA ,"186,653,601","24,410,557,938.78",8.461,NVIDIA Corp,Common Stock,Information Technology,06/20/2024
QQQ,37833100,AAPL ,"115,292,251","24,174,479,189.68",8.379,Apple Inc,Common Stock,Information Technology,06/20/2024
QQQ,11135F101,AVGO ,"8,936,591","15,501,053,284.96",5.373,Broadcom Inc,Common Stock,Information Technology,06/20/2024
QQQ,23135106,AMZN ,"77,554,120","14,432,821,732.00",5.002,Amazon.com Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,30303M102,META ,"26,131,991","13,110,419,884.70",4.544,Meta Platforms Inc,Common Stock,Communication Services,06/20/2024
QQQ,02079K305,GOOGL ,"43,998,389","7,756,915,980.70",2.688,Alphabet Inc,Common Stock,Communication Services,06/20/2024
QQQ,02079K107,GOOG ,"42,340,849","7,524,392,275.79",2.608,Alphabet Inc,Common Stock,Communication Services,06/20/2024
QQQ,22160K105,COST ,"8,557,106","7,379,990,498.64",2.558,Costco Wholesale Corp,Common Stock,Consumer Staples,06/20/2024
QQQ,88160R101,TSLA ,"35,992,151","6,535,094,857.07",2.265,Tesla Inc,Common Stock,Consumer Discretionary,06/20/2024
QQQ,64110L106,NFLX ,"8,345,445","5,666,807,518.35",1.964,Netflix Inc,Common Stock,Communication Services,06/20/2024
QQQ,7903107,AMD ,"31,159,239","5,040,941,685.42",1.747,Advanced Micro Devices Inc,Common Stock,Information Technology,06/20/2024
QQQ,747525103,QCOM ,"21,521,043","4,637,139,135.21",1.607,QUALCOMM Inc,Common Stock,Information Technology,06/20/2024
QQQ,00724F101,ADBE ,"8,716,533","4,558,310,932.35",1.58,Adobe Inc,Common Stock,Information Technology,06/20/2024
QQQ,713448108,PEP ,"26,504,670","4,417,798,395.60",1.531,PepsiCo Inc,Common Stock,Consumer Staples,06/20/2024
QQQ,G54950103,LIN ,"9,286,620","4,110,536,610.60",1.425,Linde PLC,Common Stock,Materials,06/20/2024
QQQ,872590104,TMUS ,"22,887,761","4,038,316,550.84",1.4,T-Mobile US Inc,Common Stock,Communication Services,06/20/2024
QQQ,38222105,AMAT ,"16,023,026","3,845,366,009.74",1.333,Applied Materials Inc,Common Stock,Information Technology,06/20/2024
