ID,Company Name,Exchange,Symbol,,,
1,Apple Inc.,NASDAQ:,AAPL,,,
2,Nvidia Corp,NASDAQ:,NVDA,,,
3,Microsoft Corp,NASDAQ:,MSFT,,,
4,Amazon.com Inc,NASDAQ:,AMZN,,,
5,"Meta Platforms, Inc. Class A",NASDAQ:,META,,,
6,"Tesla, Inc.",NASDAQ:,TSLA,,,
7,Alphabet Inc. Class A,NASDAQ:,GOOGL,,,
8,Broadcom Inc.,NASDAQ:,AVGO,,,
9,Alphabet Inc. Class C,NASDAQ:,GOOG,,,
10,Berkshire Hathaway Class B,NYSE:,BRK-B,,,
11,Jpmorgan Chase & Co.,NYSE:,JPM,,,
12,Eli Lilly & Co.,NYSE:,LLY,,,
13,Visa Inc.,NYSE:,V,,,
14,Exxon Mobil Corporation,NYSE:,XOM,,,
15,Unitedhealth Group Incorporated,NYSE:,UNH,,,
16,Mastercard Incorporated,NYSE:,MA,,,
17,Costco Wholesale Corp,NASDAQ:,COST,,,
18,"Home Depot, Inc.",NYSE:,HD,,,
19,Walmart Inc.,NYSE:,WMT,,,
20,Procter & Gamble Company,NYSE:,PG,,,
21,Netflix Inc,NASDAQ:,NFLX,,,
22,Johnson & Johnson,NYSE:,JNJ,,,
23,Bank of America Corporation,NYSE:,BAC,,,
24,"Salesforce, Inc.",NYSE:,CRM,,,
25,Abbvie Inc.,NYSE:,ABBV,,,
26,Chevron Corporation,NYSE:,CVX,,,
28,Wells Fargo & Co.,NYSE:,WFC,,,
27,Oracle Corp,NYSE:,ORCL,,,
29,"Merck & Co., Inc.",NYSE:,MRK,,,
30,Coca-Cola Company,NYSE:,KO,,,
31,"Cisco Systems, Inc.",NASDAQ:,CSCO,,,
33,Accenture Plc,NYSE:,ACN,,,
32,"Servicenow, Inc.",NYSE:,NOW,,,
34,"Thermo Fisher Scientific, Inc.",NYSE:,TMO,,,
35,Intuitive Surgical Inc.,NASDAQ:,ISRG,,,
37,Linde Plc,NASDAQ:,LIN,,,
36,International Business Machines Corporation,NYSE:,IBM,,,
39,Mcdonald's Corporation,NYSE:,MCD,,,
38,"Pepsico, Inc.",NASDAQ:,PEP,,,
42,Abbott Laboratories,NYSE:,ABT,,,
43,Goldman Sachs Group Inc.,NYSE:,GS,,,
41,Advanced Micro Devices,NASDAQ:,AMD,,,
40,Ge Aerospace,NYSE:,GE,,,
44,The Walt Disney Company,NYSE:,DIS,,,
46,Philip Morris International Inc.,NYSE:,PM,,,
47,Caterpillar Inc.,NYSE:,CAT,,,
45,Adobe Inc.,NASDAQ:,ADBE,,,
48,Qualcomm Inc,NASDAQ:,QCOM,,,
49,Texas Instruments Incorporated,NASDAQ:,TXN,,,
51,Morgan Stanley,NYSE:,MS,,,
50,American Express Company,NYSE:,AXP,,,
52,Intuit Inc,NASDAQ:,INTU,,,
53,Verizon Communications,NYSE:,VZ,,,
55,Rtx Corporation,NYSE:,RTX,,,
54,Booking Holdings Inc.,NASDAQ:,BKNG,,,
56,At&t Inc.,NYSE:,T,,,
57,S&p Global Inc.,NYSE:,SPGI,,,
58,Applied Materials Inc,NASDAQ:,AMAT,,,
59,Danaher Corporation,NYSE:,DHR,,,
60,Citigroup Inc.,NYSE:,C,,,
66,"Nextra Energy, Inc.",NYSE:,NEE,,,
63,Palantir Technologies Inc. Class A,NASDAQ:,PLTR,,,
62,Lowe's Companies Inc.,NYSE:,LOW,,,
67,Boston Scientific Corp.,NYSE:,BSX,,,
64,"Blackrock, Inc.",NYSE:,BLK,,,
61,Pfizer Inc.,NYSE:,PFE,,,
65,Amgen Inc,NASDAQ:,AMGN,,,
71,"Uber Technologies, Inc.",NYSE:,UBER,,,
70,Union Pacific Corp.,NYSE:,UNP,,,
68,"Honeywell International, Inc.",NASDAQ:,HON,,,
69,Progressive Corporation,NYSE:,PGR,,,
75,"Eaton Corporation, Plcs",NYSE:,ETN,,,
73,"Tjx Companies, Inc.",NYSE:,TJX,,,
72,Comcast Corp,NASDAQ:,CMCSA,,,
74,Conocophillips,NYSE:,COP,,,
77,Blackstone Inc.,NYSE:,BX,,,
76,Stryker Corporation,NYSE:,SYK,,,
78,Boeing Company,NYSE:,BA,,,
79,Arista Networks,NYSE:,ANET,,,
80,Automatic Data Processing,NASDAQ:,ADP,,,
81,"Fiserv, Inc.",NYSE:,FI,,,
83,"Palo Alto Networks, Inc.",NASDAQ:,PANW,,,
85,Gilead Sciences Inc,NASDAQ:,GILD,,,
84,Deere & Company,NYSE:,DE,,,
82,"Micron Technology, Inc.",NASDAQ:,MU,,,
87,Bristol-Myers Squibb Co.,NYSE:,BMY,,,
88,Medtronic Plc,NYSE:,MDT,,,
86,The Charles Schwab Corporation,NYSE:,SCHW,,,
89,Ge Vernova Inc.,NYSE:,GEV,,,
95,"Marsh & Mclennan Companies, Inc.",NYSE:,MMC,,,
92,Starbucks Corp,NASDAQ:,SBUX,,,
93,"T-Mobile Us, Inc.",NASDAQ:,TMUS,,,
91,Vertex Pharmaceuticals Inc,NASDAQ:,VRTX,,,
94,Kkr & Co. Inc.,NYSE:,KKR,,,
90,"Analog Devices, Inc.",NASDAQ:,ADI,,,
98,"Prologis, Inc.",NYSE:,PLD,,,
100,Chubb Limited,NYSE:,CB,,,
96,Lockheed Martin Corp.,NYSE:,LMT,,,
99,Kla Corporation,NASDAQ:,KLAC,,,
97,Lam Research Corp,NASDAQ:,LRCX,,,
101,Constellation Energy Corporation,NASDAQ:,CEG,,,
102,"United Parcel Service, Inc. Class B",NYSE:,UPS,,,
105,The Southern Company,NYSE:,SO,,,
107,American Tower Corporation,NYSE:,AMT,,,
106,"Elevance Health, Inc.",NYSE:,ELV,,,
104,"Paypal Holdings, Inc.",NASDAQ:,PYPL,,,
103,Intel Corp,NASDAQ:,INTC,,,
109,"Altria Group, Inc.",NYSE:,MO,,,
113,Duke Energy Corporation,NYSE:,DUK,,,
108,"Equinix, Inc. Reit",NASDAQ:,EQIX,,,
110,Trane Technologies Plc,NYSE:,TT,,,
112,Intercontinental Exchange Inc.,NYSE:,ICE,,,
111,Parker-Hannifin Corporation,NYSE:,PH,,,
114,"Nike, Inc.",NYSE:,NKE,,,
123,Pnc Financial Services Group,NYSE:,PNC,,,
121,Aon Plc Class A,NYSE:,AON,,,
118,"Crowdstrike Holdings, Inc. Class A",NASDAQ:,CRWD,,,
116,Cme Group Inc.,NASDAQ:,CME,,,
122,The Cigna Group,NYSE:,CI,,,
119,The Sherwin-Williams Company,NYSE:,SHW,,,
120,Synopsys Inc,NASDAQ:,SNPS,,,
117,Amphenol Corporation,NYSE:,APH,,,
115,Cadence Design Systems,NASDAQ:,CDNS,,,
130,Welltower Inc.,NYSE:,WELL,,,
131,U.S. Bancorp,NYSE:,USB,,,
134,"Apollo Global Management, Inc.",NYSE:,APO,,,
136,Moody's Corporation,NYSE:,MCO,,,
135,Zoetis Inc.,NYSE:,ZTS,,,
127,"Mondelez International, Inc. Class A",NASDAQ:,MDLZ,,,
125,"Motorola Solutions, Inc.",NYSE:,MSI,,,
129,3m Company,NYSE:,MMM,,,
126,"Waste Management, Inc.",NYSE:,WM,,,
133,Mckesson Corporation,NYSE:,MCK,,,
132,Transdigm Group Incorporated,NYSE:,TDG,,,
128,"Eog Resources, Inc.",NYSE:,EOG,,,
124,"Chipotle Mexican Grill, Inc.",NYSE:,CMG,,,
