Symbol,Name
MSFT,Microsoft Corporation
AAPL,Apple Inc.
NVDA,NVIDIA Corporation
GOOG,Alphabet Inc.
GOOGL,Alphabet Inc.
AMZN,"Amazon.com, Inc."
META,"Meta Platforms, Inc."
TSM,Taiwan Semiconductor Manufacturing Company Limited
NONOF,Novo Nordisk A/S
NVO,Novo Nordisk A/S
HTHIY,"Hitachi, Ltd."
TCEHY,Tencent Holdings Limited
TCTZF,Tencent Holdings Limited
TOYOF,Toyota Motor Corporation
TM,Toyota Motor Corporation
IDCBF,Industrial and Commercial Bank of China Limited
IDCBY,Industrial and Commercial Bank of China Limited
PCCYF,PetroChina Company Limited
ACGBY,Agricultural Bank of China Limited
PDD,PDD Holdings Inc.
CICHY,China Construction Bank Corporation
BACHF,Bank of China Limited
BABA,Alibaba Group Holding Limited
BACHY,Bank of China Limited
BABAF,Alibaba Group Holding Limited
HDB,HDFC Bank Limited
MITSY,"Mitsui & Co., Ltd."
MUFG,"Mitsubishi UFJ Financial Group, Inc."
MBFJF,"Mitsubishi UFJ Financial Group, Inc."
HTHIF,"Hitachi, Ltd."
SNEJF,Sony Group Corporation
KYCCF,Keyence Corporation
SONY,Sony Group Corporation
TOELY,Tokyo Electron Limited
TOELF,Tokyo Electron Limited
IBN,ICICI Bank Limited
SFTBY,SoftBank Group Corp.
SFTBF,SoftBank Group Corp.
SMFG,"Sumitomo Mitsui Financial Group, Inc."
HNHPF,"Hon Hai Precision Industry Co., Ltd."
MTSUY,Mitsubishi Corporation
NPPXF,Nippon Telegraph and Telephone Corporation
RCRUY,"Recruit Holdings Co., Ltd."
NTTYY,Nippon Telegraph and Telephone Corporation
MSBHF,Mitsubishi Corporation
RCRRF,"Recruit Holdings Co., Ltd."
FRCOY,"Fast Retailing Co., Ltd."
SHECY,"Shin-Etsu Chemical Co., Ltd."
TKOMY,"Tokio Marine Holdings, Inc."
TKOMF,"Tokio Marine Holdings, Inc."
PBCRY,PT Bank Central Asia Tbk
ITOCY,ITOCHU Corporation
ITOCF,ITOCHU Corporation
MITSF,"Mitsui & Co., Ltd."
DSNKY,"Daiichi Sankyo Company, Limited"
NTDOF,"Nintendo Co., Ltd."
NTDOY,"Nintendo Co., Ltd."
WMMVF,"Wal-Mart de México, S.A.B. de C.V."
CHGCY,"Chugai Pharmaceutical Co., Ltd."
SFBQF,SoftBank Corp.
WMMVY,"Wal-Mart de México, S.A.B. de C.V."
LTOUF,Larsen & Toubro Limited
SOBKY,SoftBank Corp.
KDDIY,KDDI Corporation
KDDIF,KDDI Corporation
MFG,"Mizuho Financial Group, Inc."
HMC,"Honda Motor Co., Ltd."
JAPAY,Japan Tobacco Inc.
OLCLF,"Oriental Land Co., Ltd."
HYMTF,Hyundai Motor Company
